

####### THIS IS ONLY AN EXCERPT OF THE DATABASE

index	word	frequency	wordType	stressPosition	syllableNumber
3	aalen	1	V	1	2
5	aalglatt	0	A	1	2
8	Aasgeier	2	N	1	3
12	abaendern	16	V	1	3
13	abaenderlich	0	A	1	4
14	Abaenderung	17	N	1	4
16	abandonnieren	0	V	4	5
17	abarbeiten	3	V	1	4
18	abarten	0	V	1	3
19	Abart	7	N	1	2
20	abartig	0	A	1	3
21	Abartung	0	N	1	3
23	abaesten	0	V	1	3
24	abbauen	93	V	1	3
25	Abbau	87	N	1	2
26	Abbaufeld	0	N	1	3
28	Abbaurecht	0	N	1	3
29	abbauwuerdig	1	A	1	4
30	abbeissen	8	V	1	3
31	abbeizen	0	V	1	3
32	abbekommen	4	V	1	4
33	abberufen	23	V	1	4
34	Abberufung	26	N	1	4
35	abbestellen	3	V	1	4
36	Abbestellung	1	N	1	4
37	abbezahlen	1	V	1	4
38	abbiegen	10	V	1	3
39	abbilden	14	V	1	3
40	Abbild	21	N	1	2
41	Abbildung	85	N	1	3
42	abbimsen	0	V	1	3
43	abbinden	2	V	1	3
44	abbitten	2	V	1	3
45	Abbitte	2	N	1	3
46	abblasen	6	V	1	3
47	abblassen	0	V	1	3
48	abblaettern	11	V	1	3
49	abblenden	2	V	1	3
50	Abblendlicht	3	N	1	3
51	abblitzen	5	V	1	3
52	abblocken	1	V	1	3
53	Abbrand	1	N	1	2
54	Abbraendler	0	N	1	3
55	abbrechen	143	V	1	3
56	abbremsen	19	V	1	3
57	abbrennen	10	V	1	3
59	Abbreviatur	0	N	5	5
60	abbreviieren	0	V	4	5
61	abbringen	35	V	1	3
62	abbroeckeln	0	V	1	3
63	Abbroeckelung	0	N	1	4
64	Abbruch	66	N	1	2
65	Abbrucharbeit	4	N	1	4
66	abbruchreif	4	A	1	3
67	abbruehen	1	V	1	3
68	abbuchen	3	V	1	3
69	abbuersten	0	V	1	3
70	abchangieren	0	V	1	4
71	abchecken	0	V	1	3
72	abdachen	0	V	1	3
73	Abdachung	1	N	1	3
74	abdampfen	1	V	1	3
75	abdaempfen	2	V	1	3
76	Abdampf	0	N	1	2
77	Abdampfwaerme	0	N	1	4
78	abdanken	7	V	1	3
79	Abdankung	2	N	1	3
80	abdecken	19	V	1	3
81	Abdecker	0	N	1	3
82	Abdeckerei	0	N	4	4
83	Abdeckung	0	N	1	3
84	Abderit	0	N	3	3
85	abderitisch	0	A	2	4
86	abdichten	3	V	1	3
87	Abdichtung	3	N	1	3
88	Abdikation	0	N	5	5
89	abdingen	0	V	1	3
90	abdingbar	0	A	1	3
92	abdominal	0	A	4	4
93	abdorren	0	V	1	3
94	abdraengen	14	V	1	3
95	abdrehen	4	V	1	3
96	abdreschen	0	V	1	3
97	Abdrift	0	N	1	2
98	abdrosseln	2	V	1	3
99	abdruecken	2	V	1	3
100	abdrucken	24	V	1	3
101	Abdruck	16	N	1	2
102	abducken	0	V	1	3
103	Abduktion	0	N	4	4
104	Abduktor	0	N	2	3
105	abduzieren	0	V	3	4
